,irace_1,irace_2,irace_3,irace_4,default
36,638923.3709,718419.9114,5168851.067,618274.0037,525408.9554
37,554972.148,1532475.394,302110.1347,549606.5475,273217.7467
38,442413.392,442413.392,3269017.372,442413.392,442413.392
39,158166.899,772908.0806,79624.82626,151817.9079,44278.51224
40,12547915.61,5453110.208,119320643.6,12543732.7,6114987.195
41,1,1.594778692,1.279019744,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,79.99327069,63.32141561,2943.152131,80.47930702,135.6506381
45,468.3353954,490.3175558,1887.730654,466.579574,501.7868822
46,0.910029994,0.892485547,1.353056937,0.909145051,0.986524806
47,13709.17775,9062.848352,10093698.42,13833.53717,33726.68843
48,5.16582208,4.934250486,14.75910052,5.177157146,5.84103769
49,760.9866945,748.0956438,1969.44918,768.0383717,869.0969362
50,1,1,1,1,0.198465398
51,5721.745304,1942.211688,42884.86291,5725.948182,5356.525326
52,10000,10000,10000,10000,10000
53,46.74823925,38.65236133,1412.227748,46.97411716,72.25438413
54,3.702131733,0.255466384,4.761864926,3.546605366,0.338106126
55,2.718281828,0.367879441,2.718281828,2.718281828,0.367879441
56,43920217.64,37492369.8,1371193449,44129139.88,72252232.6
57,46555515.6,37763426.89,1332189798,46776468.29,69943990.68
58,1184651.858,1447887.787,75372196.91,1184595.698,2601887.088
59,3510165.679,3901899.61,40237051.82,3500686.502,5298306.478
60,442413.392,1202604.284,65659969.14,442413.392,1202604.284
61,831681.2334,512123.3065,1417082.749,801901.8978,2223.788824
62,45230727.15,39606479.73,15966954624,45415881.09,84316631.46
63,1.274560941,1,1.601143334,1.255915858,0.09774883
64,1,1,1,1,0.198465398
65,1,1,1,1,0.198465398
66,82.23711011,66.81337828,2943.632685,82.67938596,134.0670467
67,455.6138309,494.4558755,1954.19343,460.8073562,498.3107451
68,0.674246225,0.975420387,1.353056937,0.677728054,0.892659336
